,0
416,XRCC6
417,PRDM16
418,MECOM
419,AGRN
420,TFE3
421,ATXN1
422,RFFL
423,P4HA1
424,NDUFV1
425,POR
426,CYC1
427,LRPPRC
428,NDUFS1
429,ATP2A2
430,BCKDHA
431,NDUFS3
432,HMOX2
433,NDUFS7
434,UQCRH
435,BCKDHB
436,UQCRC2
437,NDUFS8
438,DES
439,APOE
440,VDAC2
441,NDUFV2
442,ATP6V1A
443,EMC8
444,ATP5B
445,UQCRC1
446,HK1
447,TPP1
448,ATP6V1E1
449,PDHB
450,LONP1
451,NDUFA8
452,COX7B
453,COX7C
454,COX8A
455,MGST3
456,COX2
457,HIST1H4A
458,DYRK1A
459,IFITM3
460,P2RY6
461,SLC15A3
462,UNC93B1
463,SNRNP70
464,DPPA3
465,PINK1
466,ACPP
467,EPM2A
468,EYA3
469,MDP1
470,MTM1
471,MTMR7
472,PTPRA
473,PTPRH
474,PTPRM
475,PTPRU
476,STYXL1
477,TNS3
478,TPTE
479,TPTE2
480,ITFG1
481,EWSR1
482,MATR3
483,GSK3B
484,HMGB1
485,N
486,LMBR1L
487,NFX1
488,WWP2
489,ATP2B4
490,ATP6V1D
491,PSMB5
492,RAB7
493,ACTG1
494,PSMB1
495,PSMB4
496,PSMB7
497,PSMC2
498,PSMC3
499,PSMC6
500,PSMD14
501,PSMD3
502,PSMD7
503,PSME1
504,PSME2
505,RPS17
506,PSMB8
507,TEX101
508,SYT1
509,SYT2
510,SOST
511,KPNA6
512,ZBTB25
513,STK3
514,GYS1
515,PHF19
516,XAF1
517,SRRM4
518,POU2F1
519,DVL3
520,PLEKHA4
521,RAD18
522,MAGEA3
523,TFCP2
524,WHSC1
525,LINC01554
526,OPTN
527,RXRA
528,CCNF
529,ZC3H18
530,CAV2
531,DOK2
532,SSRP1
533,HSPA6
534,HIST1H2AB
535,HIST1H1E
536,HIST1H1B
537,HIST1H1C
538,TET2
539,ATRX
540,ORF3A
541,ORF7A
542,USP7
543,NEK4
544,DUX4
545,CIT
546,ANLN
547,AURKB
548,CHMP4C
549,KIF14
550,PRC1
551,BRD2
552,BRD3
553,TRIM33
554,TRIM54
555,PRNP
556,MNDA
557,ARHGAP23
558,ARHGEF19
559,FGD1
560,ARHGEF10L
561,DEPDC1B
562,FGD2
563,UBASH3A
564,MKI67
565,INS
566,MAPK14
567,RNF11
568,RNF183
569,MAFB
570,BRD4
571,MAPK1
572,NUPR1
573,HDAC4
574,DNMT1
575,APC2
576,CFD
577,FNDC5
578,RBM39
579,FBP1
580,MKRN1
581,LGALS9
582,METTL21E
583,EIF3F
584,SLC5A5
585,FAM20C
586,RIN3
587,DNAJC22
588,DNAJC9
589,SP100
590,NSRP1
591,CSNK1D
592,PPP1R10
593,POP1
594,YY1
595,ATXN2L
596,DDX6
597,DDX42
598,NUFIP2
599,G3BP2
600,FAM98A
601,EPB41L2
602,RBM25
603,CTTN
604,DDX58
605,OGT
606,BAG5
607,DDB2
608,PPP1R3A
609,UFL1
610,DDRGK1
611,APEX1
612,BCAP31
613,CBX3
614,CENPA
615,CTNNB1
616,CYP2C9
617,DHFRL1
618,DIRAS3
619,GJD3
620,GOLGA2
621,HIST1H2BG
622,PXMP2
623,TERF2IP
624,ZNF330
625,SLC26A4-AS1
626,ERCC3
627,VTCN1
628,TRIM67
629,TRIM9
630,WDR5
631,NAA40
632,EDEM1
633,SRSF4
634,HIST1H1T
635,IFI27L1
636,AIF1
637,JPH3
638,RPS16
639,TMEM14B
640,SRP14
641,PRKRA
642,ADARB1
643,MAGEB2
644,H2AFB3
645,SUMO1
646,ZNF48
647,KRR1
648,GPATCH4
649,RPLP0
650,SRPK2
651,OCLM
652,MALL
653,DGCR8
654,MRPL2
655,IFI6
656,COL8A1
657,USP54
658,RPS19
659,SERPINI2
660,MAK16
661,TMEM257
662,OASL
663,PRR3
664,ZCRB1
665,KIAA0020
666,RBM4
667,APOBEC3C
668,ILF3
669,UTP23
670,PNMAL1
671,H1FOO
672,GAGE5
673,PTPRB
