,Term,Overlap,P-value,Adjusted P-value,Genes,LCC Score,DPC Score
0,Mental and motor retardation,802/1021,3.797537777375808e-22,3.728422589827568e-18,NUP107;PGAP1;EHMT1;TSEN54;NDST1;NSDHL;SYNGAP1;AKT3;AKT1;MLYCD;MNX1;CSNK2A1;EML1;BCR;SCO1;PRKAR1A;SCO2;FAR1;TMEM126B;ABCB7;FLII;GATA6;CDCA7;GATA4;AAAS;SLC5A5;CYB5R3;HLCS;RDH11;HESX1;TOE1;B3GALNT2;CREBBP;HACE1;PMM2;NR2F1;EIF2AK3;LARP7;GRIN2B;FLI1;GRIN2D;DHFR;FAM111A;QARS;B4GAT1;LAS1L;SASS6;EZH2;PIGT;PIGN;PIGQ;CTCF;PIGY;MED17;PQBP1;MECP2;MED12;CHAF1B;NIPBL;NELFA;OFD1;APC2;ACTL6B;ARG1;NSUN2;SUMF1;MED25;PTRH2;DPYD;PIGG;DLD;PAFAH1B1;FH;ECHS1;SAMD9;IDUA;COL11A2;TMEM70;TUBA3E;PLAGL1;FLNA;DMD;SLC16A1;GK;CRBN;MDH2;USP9X;STAT3;LETM1;SKI;CENPJ;SNX14;LYRM7;MPLKIP;ZBTB24;PLOD3;PMPCA;KCNH1;SLC25A46;CDKL5;VPS33A;VPS33B;FOXP4;FTSJ1;ROR2;FTO;KMT2D;ZC4H2;ATP6;TNFRSF11A;SPATA5;CORO1A;ACAT2;ZBTB18;BRPF1;B3GALT6;SON;UQCRQ;TUBGCP6;TUBGCP4;NOP10;MIPEP;SLC25A1;SNAP25;RMND1;PTEN;MRPL3;NADK2;SPR;PGM3;ATP7A;DNM1L;SNAP29;CEP290;DIS3L2;ATRX;VPS13B;VPS37A;DDOST;SLC25A15;PPM1B;NPC1;PCCA;PIK3CA;NPC2;PCCB;SLC25A12;AHDC1;NDUFB9;PRPS1;NDUFB3;USH1C;MLLT1;PPM1D;MFF;HSD17B10;FOXRED1;SLC25A26;CDC45;D2HGDH;SLC25A20;CNNM2;SEC23B;SLC25A22;NDUFA9;NTRK1;CIZ1;MMAB;MBOAT7;NDUFA2;PC;SUCLA2;NECAP1;MGP;ST7;VIPAS39;SEC24C;SMARCB1;EIF4A3;JMJD1C;ACTB;CRKL;STS;HERC2;OPHN1;HERC1;PIEZO2;PIEZO1;ATP6V1E1;ALG9;ALG6;ALG2;ALG3;MOGS;ALG1;BCS1L;ANK1;MMADHC;PEX11B;PIK3R2;OSGEP;DHX30;BRIP1;LARS;DYM;HIVEP2;PCK1;ARSE;RBM10;AAR2;BBS2;BBS1;SURF1;XRCC4;XRCC2;IGF2;MYO5A;SMARCA2;SMARCA4;MED13L;AIMP1;EXT2;POLA1;ALDH6A1;TG;MYO5B;NDUFAF4;CWF19L1;NDUFAF2;NDUFAF3;FBXL4;AARS;COX7B;ACY1;FOXE1;KIF14;GRIK2;KIF11;BRCA2;PEPD;IER3IP1;PCLO;OTUD6B;CHAMP1;EPG5;ACADM;KIF1A;ATPAF2;KIF22;SYN3;KIF2A;DDR2;AHCY;PCNA;SATB2;GBA;HSD17B4;ARVCF;SLX4;EXOSC8;MGAT2;PCNT;EXOSC3;BCAP31;DYNC1H1;PEX19;GCH1;NUBPL;GAD1;PEX10;RSRC2;PEX12;PEX13;PEX14;MAD2L2;ITCH;KLHL7;OTC;TACO1;BUB1B;MSMO1;UBE3A;UBE3B;CELSR2;ACTG1;TXN2;CCND2;KIF5C;KIF5B;EP300;SNIP1;ARID2;CASK;RPGRIP1L;SDHA;MID1;SDHB;ATAD3A;MID2;COX6B1;CAMKMT;DKC1;EEF1A2;GEMIN4;SBDS;RAF1;CARS2;COX15;KLHL15;CACNA1A;CACNA1D;SLC1A4;CACNA1C;RAI1;EBP;DEAF1;NPHP1;CAMTA1;NPHP3;COX14;NPHP4;NDUFV2;PRODH;NDUFV1;PIBF1;TFAP2B;PDHA1;AUTS2;HMGA2;USB1;BMP4;GNAO1;QDPR;AHI1;BMP2;COL5A1;CPS1;TMEM237;UBE2T;GNB1;STT3A;MKRN3;TCF4;STT3B;RERE;YWHAE;CHD7;HMGB3;ADAR;MTR;CHD2;SOBP;AFF4;GRM1;LMNB2;ZIC2;CA2;ZIC1;MKKS;EED;CAD;PEX1;MUT;SHROOM4;ACTA1;NDUFS8;NDUFS7;ACOX1;NDUFS6;PEX3;PEX6;NDUFS4;PEX5;NDUFS3;NDUFS2;NDUFS1;MAN1B1;ZMYND11;MVK;PNKP;PARN;ADD3;CBL;NT5C2;SAMHD1;INS;ARFGEF2;EYA1;NAA10;ATP2B3;SUOX;GALC;RPIA;CLCN4;ERCC3;ERCC4;ERCC1;ERCC2;ERCC5;KRAS;TAF6;CCDC174;TAF2;MBTPS2;TAF1;ANKLE2;CLPB;GLDC;FRMPD4;MYT1L;HNRNPU;ABAT;SMC3;FGFRL1;CLP1;CSPP1;AP1S2;CDK20;AP1S1;MPV17;CEP97;CDK5RAP2;DDX11;ARMC9;SOX10;GTPBP3;WDR81;YME1L1;TARS2;PRKD1;GNE;SRCAP;CTBP1;TERC;NEDD4L;WDR62;TERT;RAD21;PRDM16;NKX2-1;ST3GAL5;CHST14;NKX2-5;ZNF148;RREB1;PLK4;ARL14EP;ACD;PHC1;MTHFR;BRAF;FIBP;HNRNPK;SLC6A8;OGDH;PPT1;MKS1;CDK13;RET;CEP57;SETD5;GABRB1;SETD2;ADK;SRP54;ASH2L;SMG9;FMN2;WDR45;LYST;GLI2;FARS2;IFIH1;TCTN3;RARS;TCTN2;HELLS;TPI1;SSR4;PAX6;FAM126A;PAX1;CIT;HADHB;HADHA;TUBB2B;TUBB2A;PAX8;CEP63;CTDP1;ZNF592;AP5Z1;SNORD116-1;TMEM165;NSD1;GABRA1;WWOX;TIMMDC1;BRF1;KIDINS220;NDE1;WDR19;LRPPRC;FIG4;NFIA;RFWD3;ALMS1;PLP1;RLIM;CEP41;FMR1;CEP120;PPP1CB;TUBB3;MPC1;LAMP2;RARS2;MAP2K1;MAP2K2;SNRPN;CEP135;GPT2;VRK1;FRMD4A;LEMD3;THOC6;KAT6B;KAT6A;NHP2;ADNP;CEP104;MAGEL2;ANKRD11;ITPR1;PHF21A;KIAA0556;ZFP57;DVL1;PSAP;NACC1;NDN;MPDU1;FANCI;FANCM;FANCL;FANCA;ASNS;FANCC;FANCB;TRAPPC9;FANCE;PALB2;FANCG;FANCF;CDK6;CDK5;LHX3;NF1;DHCR7;IARS;CCDC22;LHX4;TUBA8;WRAP53;CEP164;PTPN23;GM2A;SIN3A;DNMT3B;SERAC1;LBR;COA7;COA5;IQCB1;ADSL;PROP1;CKAP2L;ELAC2;KCNAB2;SMC1A;METTL23;ASPM;POLR1C;MCM4;HDAC4;PLG;HDAC8;LAGE3;PUF60;VPS53;FKTN;SMARCE1;KCNJ10;KCNJ11;CEP152;RPL35A;GFER;ASS1;ASXL1;RAD51;POLR3A;POLR3B;KIAA0586;PSAT1;ASXL2;RAB18;CUL4B;APP;ISCA2;PANK2;TP53RK;TRAF3IP1;SOX2;NFU1;SOX3;PPP2R1A;DAG1;LONP1;SIL1;SOX5;CDON;MCCC2;PDHX;COG6;COG4;TINF2;MCCC1;COG2;COG1;P3H1;EBF3;ESCO2;KARS;BOLA3;SUCLG1;SIK1;DNA2;ALDH7A1;TELO2;RTEL1;LMAN2L;STXBP1;TWIST2;TMTC3;PTDSS1;DPH1;ZNHIT3;INPP5E;ATP6V0A2;INPP5K;ASL;SPTBN2;NUS1;BCL11B;BCL11A;INSR;TREX1;SLC33A1;PYCR1;PYCR2;ACADSB;CCDC88A;RPS28;OCLN;MAGED2;ALDH18A1;SIM1;TECPR2;CC2D1A;INVS;GDI1;FASTKD2;VLDLR;AUH;CHMP1A;DLAT;CLIC2;HRAS;CC2D2A;PRMT7;GP1BB;TUBB;AMPD2;TUBG1;AP3B2;ZDHHC15;RAD51C;ALDH5A1;PACS1;FAM20C;HNRNPH2;UMPS;KPTN;MATN4;SDCCAG8;PTS;PURA;HIRA;PDPR;LMNA;DCPS;DUOX2;SUZ12;MPP4;MTSS1L;CTNNB1;RAB3GAP2;TRIP13;MEGF8;RAB3GAP1;NDUFA12;NDUFA10;CIB2;COMT;CWC27;EFTUD2;COL4A3BP;POGZ;TRAPPC11;PSPH;PUS3;SZT2;KDM2B;PAM16;LIG4;TSC2;ALG13;OCRL;TSC1;TRNT1;ALG11;DPM2;PREPL;COL4A2;COL4A1;FANCD2;TBL1XR1;SPECC1L;ATP6V1A;CHRNA7;LTBP4;CPLX1;EFNB1;DNAJC21;OTX2;BPTF;SMAD4;STIL;UQCC3;UQCC2;PTCH1;IDH2;TBCD;COQ9;DIAPH1;SEPSECS;TBCK;ARHGAP31;EIF2S3;DLG3;TBCE;MAN2B1;FGFR3;FGFR2;FGFR1;DOCK6;B4GALT1;TSEN15;DOCK8;DOCK7;SLC2A1;DHTKD1;GMPPB;FLCN;KYNU;GMPPA;HIST1H1E;RNU4ATAC;KDM6A;TSFM;ABCC8;PDE4D;PPP2R5D;ARID1A;POMGNT2;ARID1B;DNM1;RFT1;MCTP2;B4GALT7;MCPH1;VAC14;BRAT1;ATP1A3;HSPD1;MAPK1;BUB3;BUB1;MEIS2;TSHR;KANSL1;POMK,0.5835411471321695,3.133713399836378
1,Small head,470/570,8.08433626564098e-21,3.098492914756545e-17,RB1;ANKLE2;TRIO;NUP107;PGAP1;CLPB;HNRNPU;EHMT1;RBPJ;SMC3;FGFRL1;TSEN54;GJA1;NSDHL;SYNGAP1;CLP1;CSPP1;RTTN;GJA8;CDK5RAP2;CSNK2A1;DDX11;HCFC1;BCR;CLPP;AGTR1;YME1L1;FAR1;PRKD1;CTBP1;PRKDC;PDGFB;XPA;CDCA7;GATA4;WDR62;AAAS;CYB5R3;TERT;RAD21;PRDM16;ZNF148;ATRIP;NHEJ1;PLK4;ARL14EP;CREBBP;ACD;PHC1;PMM2;EIF2AK3;MTHFR;LARP7;CDC6;L1CAM;GRIN2D;SLC6A8;TBL2;LAS1L;GJB3;MKS1;SASS6;GTF2IRD1;CEP57;SETD5;MOCS2;SMG9;CTCF;PHF6;PIGY;GLI2;PQBP1;FARS2;MECP2;MED12;SHH;DSTYK;NIPBL;TUBA1A;TCTN3;RARS;TCTN2;NELFA;IKBKG;OFD1;SSR4;AHSG;NSUN2;RIPK4;PAX3;PAX6;BAZ1B;CIT;MED25;TUBB2B;PTRH2;DPYD;CINP;CEP63;DLD;MOCS1;SF3B4;FH;ZNF592;RPL10;TMEM70;NSD1;MFN2;WWOX;TRMT10A;MBD5;BRF1;NDE1;ARCN1;LETM1;SKI;FIG4;CENPE;WT1;RFWD3;CENPJ;PLP1;RLIM;MPLKIP;ZNF335;PTF1A;CTNND2;GMNN;EDC3;SALL1;TUBB3;NBN;GTF2I;CDKL5;CEP135;VPS33B;DYRK1A;LEMD3;TRAIP;THOC6;CLIP2;KAT6B;KAT6A;NHP2;SNRPB;FTO;KMT2D;BLM;KMT2A;ANKRD11;UBR1;SPATA5;GTF2E2;RAP1B;ORC4;RAP1A;ORC6;ORC1;NACC1;KDSR;MPDU1;ZBTB18;FANCI;FANCM;FANCL;ZBTB16;FANCA;ASNS;DHCR24;FANCC;FANCB;TRAPPC9;FANCE;PALB2;FANCG;FANCF;CDK6;G6PC3;CDK5;NF1;TUBGCP6;DHCR7;IARS;TUBGCP4;NOP10;TUBA8;NADK2;SPR;SIN3A;DGCR8;DGCR6;ATP7A;DNM1L;SNAP29;CEP290;TAPT1;ADSL;CHUK;ITGA3;RFC2;CKAP2L;ATRX;VPS13B;KCNAB2;SMC1A;ASPM;POLR1A;SLC25A19;MCM4;HDAC4;PPP1R15B;LRP5;HDAC8;MFF;LAGE3;CDC45;PUF60;VPS53;RBBP8;CNNM2;KCNJ2;FKTN;SMARCE1;KCNJ11;CEP152;DONSON;TBX4;RPGRIP1;ASXL1;RAD50;NIN;RAD51;SUCLA2;FRAS1;PSAT1;RAB18;VIPAS39;BCOR;SMARCAL1;SMARCB1;TP53RK;GORAB;ACTB;CRKL;SOX2;RPS6KA3;RPS19;PIEZO2;SIL1;CDON;PDHX;ALG9;COG6;SP110;COG4;TINF2;NSMCE2;ALG3;ALG1;ESCO2;ANK1;GNPAT;POR;DNA2;TELO2;RTEL1;FOXG1;STXBP1;PEX11B;LIAS;OSGEP;DHX30;BRIP1;ZNHIT3;LARS;ATP6V0A2;DYM;ARSE;AAR2;CDT1;NUS1;XRCC4;BCL11A;XRCC2;PYCR1;PYCR2;IGF1;ACADSB;SMARCA2;SMARCA4;AIMP1;ALDH6A1;OCLN;ALDH18A1;TECPR2;FBXL4;AARS;ATR;RPS23;COX7B;GFM1;C2CD3;KIF14;HCCS;KIF11;BRCA2;IER3IP1;OTUD6B;CHAMP1;KIF1C;EPG5;PHGDH;KIF1A;DLAT;NANS;CTSD;CC2D2A;RSPRY1;ATPAF2;PRMT7;MRPS22;TUBB;AMPD2;HBA2;AP3B1;KIF23;HBA1;TUBG1;RAD51C;KIF2A;FAM20C;MATN4;SLC20A2;SATB2;GBA;IBA57;PTS;SLX4;MGAT2;PCNT;DCPS;BCAP31;DYNC1H1;PEX19;ERCC6L2;GAD1;AP3D1;MTSS1L;PEX10;PEX12;PEX13;PEX14;MAD2L2;KLHL7;CTNNB1;RAB3GAP2;TRIP13;B9D2;RAB3GAP1;BUB1B;MSMO1;UBE3B;YARS2;ACTG1;IGF1R;TXN2;EFTUD2;GRIP1;KIF5C;KIF5A;POGZ;NARS2;EP300;TRAPPC11;SBF1;ARID2;PDGFRB;PUS3;KDM2B;PUS1;LIG4;CASK;ALG13;RPGRIP1L;TUFM;DPM1;MYCN;DKC1;FANCD2;TBL1XR1;EEF1A2;GEMIN4;SBDS;XPR1;COX15;CPLX1;FBLN5;EFNB1;EMG1;VARS2;TFAP2A;SMAD4;STIL;PDHA1;AUTS2;QDPR;DIAPH1;ARHGAP31;EIF2S3;UBE2T;TBCE;STT3A;TCF4;STT3B;FGFR3;FGFR1;RERE;DOCK6;RBM28;SLC2A1;HMGB3;DHTKD1;GMPPB;FLCN;ZIC2;MYO18B;RNU4ATAC;KDM6A;ABCC8;PEX1;ARID1A;ARID1B;SHROOM4;PEX7;MYH3;PEX3;PEX6;PEX5;RFT1;MCTP2;MCPH1;TSEN34;MVK;BRAT1;PARN;ADD3;USP18;IFT74;RNF113A;POC1A;MAPK1;BUB3;BUB1;ARFGEF2;NAA10;LIMK1;ATP2B3;MEIS2;ERCC3;ERCC4;COL7A1;ERCC1;ERCC2;POMK;ERCC8;ERCC5;TAF6;ERCC6;TAF2;MBTPS2,0.551063829787234,3.0250093478207583
2,Cognitive delay,758/966,9.467792569025907e-21,3.098492914756545e-17,ANKLE2;NUP107;PGAP1;CLPB;FRMPD4;MYT1L;EHMT1;HNRNPU;ABAT;SMC3;FGFRL1;NDST1;NSDHL;SYNGAP1;CLP1;CSPP1;AP1S2;AKT1;AP1S1;MLYCD;MPV17;MNX1;CDK5RAP2;CSNK2A1;DDX11;ARMC9;EML1;SOX10;GTPBP3;BCR;SCO1;WDR81;PRKAR1A;SCO2;YME1L1;FAR1;TARS2;TMEM126B;PRKD1;GNE;SRCAP;ABCB7;CTBP1;TERC;FLII;GATA6;CDCA7;NEDD4L;GATA4;WDR62;AAAS;SLC5A5;CYB5R3;TERT;HLCS;RDH11;RAD21;PRDM16;HESX1;NKX2-1;ST3GAL5;CHST14;NKX2-5;ZNF148;RREB1;TOE1;B3GALNT2;PLK4;ACD;HACE1;PHC1;PMM2;NR2F1;EIF2AK3;LARP7;MTHFR;BRAF;GRIN2B;FLI1;GRIN2D;DHFR;FAM111A;FIBP;HNRNPK;SLC6A8;QARS;B4GAT1;LAS1L;SASS6;OGDH;PPT1;MKS1;CDK13;EZH2;RET;CEP57;SETD5;GABRB1;SETD2;PIGT;PIGN;ADK;SRP54;SMG9;CTCF;FMN2;WDR45;LYST;PIGY;MED17;PQBP1;GLI2;FARS2;MECP2;MED12;IFIH1;TCTN3;RARS;TCTN2;NELFA;OFD1;APC2;HELLS;TPI1;SSR4;ARG1;NSUN2;PAX6;FAM126A;SUMF1;PAX1;CIT;HADHB;HADHA;MED25;TUBB2B;TUBB2A;PAX8;PTRH2;DPYD;CEP63;PIGG;DLD;PAFAH1B1;FH;ECHS1;CTDP1;ZNF592;SAMD9;AP5Z1;IDUA;COL11A2;SNORD116-1;TMEM70;TMEM165;PLAGL1;NSD1;FLNA;DMD;GABRA1;WWOX;SLC16A1;TIMMDC1;GK;CRBN;BRF1;MDH2;USP9X;KIDINS220;NDE1;STAT3;WDR19;LRPPRC;LETM1;SKI;FIG4;NFIA;CENPJ;SNX14;RFWD3;LYRM7;ALMS1;PLP1;RLIM;MPLKIP;CEP41;ZBTB24;FMR1;CEP120;PLOD3;PPP1CB;TUBB3;MPC1;LAMP2;PMPCA;KCNH1;SLC25A46;RARS2;MAP2K1;CDKL5;MAP2K2;SNRPN;CEP135;VPS33A;GPT2;VPS33B;VRK1;FRMD4A;LEMD3;FTSJ1;THOC6;KAT6B;KAT6A;NHP2;ROR2;ADNP;FTO;KMT2D;CEP104;MAGEL2;ZC4H2;ANKRD11;ATP6;ITPR1;TNFRSF11A;SPATA5;CORO1A;ACAT2;PHF21A;KIAA0556;ZFP57;DVL1;PSAP;NACC1;NDN;MPDU1;ZBTB18;FANCI;BRPF1;FANCM;FANCL;FANCA;ASNS;B3GALT6;FANCC;FANCB;TRAPPC9;FANCE;PALB2;FANCG;FANCF;SON;CDK6;CDK5;LHX3;UQCRQ;NF1;TUBGCP6;TUBGCP4;DHCR7;IARS;CCDC22;LHX4;NOP10;TUBA8;WRAP53;MIPEP;SLC25A1;SNAP25;RMND1;CEP164;PTEN;MRPL3;NADK2;SPR;GM2A;SIN3A;PGM3;DNMT3B;SERAC1;ATP7A;DNM1L;SNAP29;CEP290;LBR;COA7;DIS3L2;COA5;IQCB1;ADSL;PROP1;CKAP2L;ELAC2;ATRX;VPS13B;VPS37A;KCNAB2;SMC1A;DDOST;METTL23;SLC25A15;ASPM;PPM1B;NPC1;PCCA;PIK3CA;NPC2;PCCB;POLR1C;MCM4;SLC25A12;AHDC1;HDAC4;NDUFB9;PRPS1;NDUFB3;USH1C;PLG;PPM1D;MFF;HDAC8;HSD17B10;LAGE3;FOXRED1;SLC25A26;CDC45;PUF60;VPS53;D2HGDH;SLC25A20;CNNM2;SEC23B;SLC25A22;FKTN;NDUFA9;NTRK1;SMARCE1;KCNJ10;KCNJ11;MMAB;MBOAT7;CEP152;NDUFA2;RPL35A;GFER;ASS1;ASXL1;PC;SUCLA2;NECAP1;RAD51;POLR3A;POLR3B;KIAA0586;PSAT1;MGP;ASXL2;RAB18;VIPAS39;SEC24C;APP;PANK2;SMARCB1;TP53RK;TRAF3IP1;EIF4A3;JMJD1C;ACTB;CRKL;SOX2;NFU1;SOX3;STS;HERC2;OPHN1;HERC1;PPP2R1A;PIEZO2;DAG1;LONP1;PIEZO1;ATP6V1E1;SIL1;SOX5;CDON;MCCC2;PDHX;ALG9;ALG6;COG6;COG4;TINF2;MCCC1;ALG2;COG2;ALG3;COG1;P3H1;MOGS;EBF3;ALG1;ESCO2;BCS1L;ANK1;KARS;BOLA3;SUCLG1;SIK1;DNA2;ALDH7A1;MMADHC;TELO2;RTEL1;LMAN2L;PEX11B;TWIST2;TMTC3;PIK3R2;OSGEP;BRIP1;PTDSS1;LARS;DPH1;ZNHIT3;INPP5E;ATP6V0A2;DYM;INPP5K;ASL;HIVEP2;PCK1;ARSE;RBM10;SPTBN2;BBS2;BBS1;NUS1;SURF1;XRCC4;BCL11B;BCL11A;XRCC2;INSR;TREX1;SLC33A1;IGF2;MYO5A;PYCR1;PYCR2;SMARCA2;ACADSB;SMARCA4;MED13L;AIMP1;EXT2;POLA1;CCDC88A;ALDH6A1;RPS28;OCLN;TG;MYO5B;NDUFAF4;CWF19L1;NDUFAF2;NDUFAF3;ALDH18A1;SIM1;FBXL4;TECPR2;CC2D1A;AARS;INVS;COX7B;ACY1;FOXE1;GDI1;FASTKD2;KIF14;GRIK2;KIF11;VLDLR;BRCA2;PEPD;IER3IP1;PCLO;AUH;OTUD6B;CHMP1A;CHAMP1;EPG5;ACADM;KIF1A;DLAT;CLIC2;HRAS;CC2D2A;ATPAF2;PRMT7;GP1BB;TUBB;AMPD2;KIF22;TUBG1;AP3B2;ZDHHC15;RAD51C;ALDH5A1;KIF2A;PACS1;FAM20C;HNRNPH2;UMPS;KPTN;DDR2;SDCCAG8;AHCY;PCNA;SATB2;GBA;HSD17B4;PTS;PURA;HIRA;ARVCF;SLX4;EXOSC8;LMNA;PCNT;EXOSC3;DCPS;DUOX2;BCAP31;SUZ12;PEX19;GCH1;NUBPL;GAD1;PEX10;PEX12;PEX13;PEX14;MAD2L2;ITCH;KLHL7;CTNNB1;RAB3GAP2;TRIP13;MEGF8;RAB3GAP1;OTC;NDUFA12;TACO1;NDUFA10;BUB1B;CIB2;MSMO1;UBE3A;UBE3B;COMT;CWC27;ACTG1;TXN2;EFTUD2;COL4A3BP;CCND2;KIF5C;POGZ;EP300;SNIP1;TRAPPC11;ARID2;PSPH;PUS3;SZT2;PAM16;CASK;LIG4;TSC2;ALG13;OCRL;TSC1;RPGRIP1L;TRNT1;ALG11;SDHA;MID1;SDHB;ATAD3A;MID2;COX6B1;CAMKMT;DPM2;PREPL;COL4A2;DKC1;COL4A1;FANCD2;TBL1XR1;EEF1A2;SPECC1L;SBDS;RAF1;CARS2;ATP6V1A;COX15;KLHL15;CHRNA7;LTBP4;CACNA1A;CACNA1D;SLC1A4;CACNA1C;CPLX1;RAI1;EFNB1;EBP;DEAF1;NPHP1;DNAJC21;CAMTA1;NPHP3;COX14;NPHP4;OTX2;NDUFV2;PRODH;NDUFV1;PIBF1;TFAP2B;SMAD4;STIL;PDHA1;AUTS2;UQCC3;UQCC2;PTCH1;IDH2;TBCD;HMGA2;USB1;COQ9;BMP4;GNAO1;QDPR;AHI1;SEPSECS;BMP2;ARHGAP31;EIF2S3;COL5A1;CPS1;DLG3;TMEM237;UBE2T;GNB1;TBCE;STT3A;MKRN3;TCF4;MAN2B1;STT3B;FGFR3;FGFR2;FGFR1;RERE;YWHAE;DOCK6;B4GALT1;DOCK8;CHD7;DOCK7;SLC2A1;HMGB3;ADAR;MTR;CHD2;SOBP;AFF4;GRM1;LMNB2;DHTKD1;GMPPB;FLCN;ZIC2;CA2;KYNU;ZIC1;GMPPA;HIST1H1E;RNU4ATAC;KDM6A;TSFM;MKKS;EED;ABCC8;PDE4D;CAD;PPP2R5D;PEX1;ARID1A;POMGNT2;MUT;ARID1B;SHROOM4;ACTA1;NDUFS8;NDUFS7;ACOX1;NDUFS6;PEX3;PEX6;NDUFS4;PEX5;RFT1;NDUFS3;NDUFS2;NDUFS1;MAN1B1;ZMYND11;MCTP2;B4GALT7;MCPH1;VAC14;MVK;BRAT1;PARN;ATP1A3;ADD3;CBL;NT5C2;SAMHD1;INS;HSPD1;MAPK1;BUB3;BUB1;ARFGEF2;EYA1;NAA10;SUOX;MEIS2;TSHR;RPIA;CLCN4;ERCC3;KANSL1;ERCC4;ERCC1;ERCC2;POMK;ERCC5;KRAS;TAF6;CCDC174;TAF2;MBTPS2;TAF1,0.5817941952506597,3.12279777825196
