,InteractorA,InteractorB
8289,TCF3,HAND2
8324,TCF3,ID3
31348,VAP-33B,SIRT7
31539,SIRT7,CKIIBETA
37873,SIRT7,POLO
37874,SIRT7,CG12985
37875,SIRT7,ERGIC53
37876,SIRT7,PK17E
62299,SIRT7,RHEA
119485,YWHAG,KIAA0408
241382,TCERG1,SF3B1
241426,YWHAG,KIF5B
241433,YWHAG,SRRM2
241441,YWHAB,KIF5B
241443,YWHAG,FRYL
241447,YWHAB,MPRIP
241449,YWHAG,MPRIP
241456,YWHAG,PI4KB
241473,YWHAB,SRRM2
241495,YWHAG,KLC1
241497,YWHAG,LARP1
241499,YWHAB,IRS2
241500,YWHAG,MLLT4
241522,YWHAB,RAI14
241530,YWHAB,SAMD4B
241542,YWHAB,BRAF
241582,YWHAG,BRAF
241589,YWHAB,PI4KB
241602,YWHAG,EPB41L3
241608,YWHAG,EDC3
241611,YWHAG,OSBPL3
241621,YWHAG,CLASP1
241633,YWHAB,USP8
241639,YWHAG,PPFIBP1
241665,YWHAG,KLC4
241669,YWHAB,EPB41L3
241675,YWHAB,PARD3
241696,YWHAG,TJP2
241700,YWHAG,SAMD4B
241719,YWHAG,ERC1
241744,YWHAG,RABGEF1
241760,YWHAB,KLC1
241761,YWHAG,PRPF4B
241763,YWHAB,MLLT4
241771,YWHAG,IRS2
241782,YWHAG,PARD3
241786,YWHAG,PAK4
241799,YWHAG,MARK2
241820,YWHAB,RACGAP1
241835,YWHAB,KIF23
241840,YWHAG,RAI14
241846,YWHAG,ARAF
241918,YWHAB,EDC3
241974,YWHAB,TJP2
242016,YWHAG,CRTC2
242027,YWHAG,SHCBP1
242085,YWHAB,FOXK1
242086,YWHAB,DENND4A
242093,YWHAB,FRYL
242134,YWHAB,SLC4A7
242163,YWHAG,LUC7L2
242311,YWHAG,KRT31
242351,YWHAB,MARK3
242367,YWHAG,MARK3
242378,YWHAG,KRT85
242396,YWHAG,KIF5C
242455,YWHAG,RAF1
242509,YWHAG,ANKS1A
242599,YWHAB,NCKAP1
242600,YWHAG,SNRNP200
242647,YWHAB,AKAP13
242751,YWHAG,KLC3
242768,YWHAG,LBR
242796,YWHAG,RACGAP1
242885,YWHAB,OSBPL3
242915,YWHAG,BAIAP2
242935,YWHAG,IGF1R
243066,YWHAB,CGN
243067,YWHAG,KIF23
243082,YWHAG,KRT33B
243105,YWHAG,SON
243113,YWHAG,KIAA0930
243162,YWHAB,RMDN3
243197,YWHAG,RMDN3
243228,YWHAG,DENND4A
243254,YWHAG,RABEP1
243287,YWHAB,RABGEF1
243309,YWHAG,CGN
243339,MAP3K3,YWHAG
243406,ATG12,SF3B1
243437,BRF2,SF3B1
243475,GSK3B,SF3B1
243476,HDAC3,SF3B1
243479,SNRNP40,SF3B1
243552,RNPS1,SF3B1
243558,PUF60,SF3B1
243561,SMNDC1,SF3B1
243573,YWHAB,LARP1
243574,YWHAB,CSNK2A1
243575,YWHAG,KLC2
243576,YWHAG,GBF1
243581,YWHAZ,SF3B1
244964,YWHAG,SFN
245223,RASGRF1,YWHAB
245225,TSC2,YWHAB
251542,MLXIPL,YWHAB
251593,RNU11,SF3B1
252705,MAPK7,YWHAB
253292,SKP2,TCF3
255990,NHLH1,TCF3
260017,RAF1,YWHAB
260028,YWHAB,RPS6KA1
260935,YWHAG,HDAC4
262068,CCNE1,SF3B1
262703,HDAC4,YWHAB
262706,HDAC5,YWHAB
263316,TCF3,EP300
263317,TCF3,CREBBP
263318,TCF3,KAT2B
270496,MAGED1,SIRT7
274699,YWHAG,KIF1C
275178,SF3B2,SF3B1
275183,SF3B1,SF3B3
275506,SF3B6,SF3B1
275514,CALM1,TCF3
275818,WEE1,YWHAB
275882,LMX1A,TCF3
276374,BAD,YWHAB
278155,FOXO1,YWHAG
279269,PTPN3,YWHAB
279367,TAL1,TCF3
279390,TCF3,LDB1
279391,TCF3,CBFA2T3
279598,ELK3,TCF3
280343,PRKCQ,YWHAG
280344,PRKCG,YWHAG
280345,PRKCD,YWHAG
280346,PRKCA,YWHAG
280347,PRKCB,YWHAG
280385,MYOD1,TCF3
281971,TCF3,TWIST1
281973,TCF3,PSMD9
282565,ZFP36,YWHAB
283021,SF3B1,PPP1R8
286657,YWHAB,IGF1R
287473,YWHAG,CDK16
287907,ID1,TCF3
287908,ID2,TCF3
287919,TCF3,MYF5
287920,TCF3,MYF6
287921,TCF3,MYOG
288406,RGS3,YWHAB
289027,DISC1,YWHAG
289134,CBL,YWHAB
289167,YWHAB,KCNK3
297106,TESK1,YWHAB
297107,TESK2,YWHAB
297575,UBE2I,TCF3
300376,YWHAB,IRS1
301212,YWHAB,SNCA
301681,PRKCZ,YWHAG
301689,PRKCZ,YWHAB
302077,PRPF6,YWHAB
302525,MLXIP,YWHAB
305031,SF3A2,SF3B1
305103,SF3B1,DDX42
305104,SF3B1,SF3B4
305106,SF3B1,SF3B5
305113,SF3B1,PHF5A
305293,TNFAIP3,YWHAB
305310,CDC25B,YWHAB
306129,LYST,YWHAB
314722,YWHAB,RIN1
315187,YWHAB,ITGB1
315882,MAPT,YWHAB
316301,CDC25A,YWHAB
317945,CDC5L,SF3B1
318039,LYL1,TCF3
318046,MAPKAPK3,TCF3
318130,UCP2,YWHAB
318133,UCP3,YWHAB
330820,SAP130,SF3B1
338377,USP8,YWHAG
423438,USP43,YWHAB
423439,USP32,YWHAB
423440,WDR20,YWHAB
442382,YWHAG,MDM4
442387,YWHAB,MDM4
442450,TCF3,DAXX
446131,FOXO3,YWHAB
448785,SNCA,YWHAG
452515,SIRT7,UBTF
458949,CDC25C,YWHAB
459017,YWHAB,TSC1
464218,MEN1,TCF3
464396,YWHAG,BAD
464436,YWHAG,EPB41L2
464459,YWHAG,HIVEP2
464490,YWHAG,KRT18
464522,YWHAG,MYH10
464558,YWHAG,PTPN3
464602,YWHAG,SSFA2
464611,YWHAG,TERF1
464612,YWHAG,TNFAIP3
464638,YWHAE,YWHAB
464640,YWHAG,YWHAE
464642,PAK1,YWHAG
464712,YWHAG,FAM65B
464733,YWHAG,CHAF1A
464747,YWHAG,MPHOSPH9
464780,YWHAG,COPS5
464794,YWHAG,SYNPO
464819,YWHAG,NEDD4L
464832,MYC,SF3B1
464841,YWHAG,SH3BP4
464850,YWHAG,WWTR1
464871,YWHAG,FAM13B
464875,YWHAG,FAM53C
464890,YWHAG,MSL2
464901,YWHAG,DDX27
464912,YWHAG,CENPJ
464933,YWHAG,CRTC3
464939,YWHAG,WNK1
464949,YWHAG,NDEL1
464961,YWHAG,CGNL1
464971,YWHAG,CEP95
464991,YWHAG,SYNPO2
465010,YWHAG,SIMC1
465015,YWHAG,ANKHD1-EIF4EBP3
465266,TRIM27,TCF3
469067,TCF4,TCF3
469378,BRCA1,TCF3
469389,CIITA,TCF3
469589,GFI1,TCF3
469593,TSC22D3,TCF3
469712,ELAVL2,TCF3
469722,IKBKG,TCF3
469808,ASCL1,TCF3
469835,MEIS2,TCF3
469963,PHF2,TCF3
470008,POLR1A,TCF3
470037,TAF1B,TCF3
470053,TCF3,ZFP292
470054,TCF3,PDLIM4
470055,TCF3,TRIP4
470056,TCF3,PAPOLB
470057,TCF3,RNF14
470058,TCF3,ASCL3
470059,TCF3,SMARCE1
470060,TCF3,ZDHHC6
470061,TCF3,RFX4
470062,TCF3,ERCC8
470063,TCF3,RAI14
470064,TCF3,CERS2
470065,TCF3,PBX4
470066,TCF3,FOXP1
470067,TCF3,ZDHHC15
470068,TCF3,TLE6
470069,TCF3,IVNS1ABP
470070,TCF3,MED16
470071,TCF3,ZFP277
470072,TCF3,SOWAHC
470073,TCF3,JADE1
470474,HDAC5,YWHAG
478640,SIRT7,POLR1A
478646,SIRT7,HIST1H4A
478647,SIRT7,HIST1H3A
478648,SIRT7,HIST2H2BE
478649,SIRT7,HIST2H2AC
478797,BAZ1B,SF3B1
479315,YWHAB,ING1
479318,YWHAG,ING1
482755,CAMK2A,YWHAB
482756,CAMK2B,YWHAB
503132,ZBTB33,TCF3
503134,CTNNB1-B,TCF3
504241,TAT,SF3B1
511385,RUNX1T1,TCF3
511396,RUNX1,TCF3
520862,H3F3A,SF3B1
521952,TOPORS,SF3B1
530517,EMD,YWHAB
531251,YWHAB,SAMSN1
531253,YWHAG,SAMSN1
533725,HDAC7,YWHAB
533863,EXO1,YWHAB
534836,NR0B2,SIRT7
544089,TRIM33,TCF3
544187,LMNA,YWHAG
544904,CHAF1A,YWHAB
555042,INPP5K,TCF3
558155,H2AFX,YWHAB
563205,INO80E,TCF3
563215,YY1,TCF3
564403,MYC,YWHAB
565212,ARHGEF7,YWHAB
565213,NEDD4L,YWHAB
567874,MAPK13,YWHAB
568528,YWHAQ,YWHAG
568572,YWHAQ,YWHAB
569163,YWHAB,SKP2
570246,HDAC5,SF3B1
571807,RBM39,SF3B1
574531,YWHAB,ATP5A1
574533,YWHAB,C1QBP
574535,YWHAB,DHX15
574536,YWHAB,HSPA1B
574537,YWHAB,HSPA5
574538,YWHAB,HSP90AB1
574545,YWHAB,SRSF3
574546,YWHAB,SON
574548,YWHAB,UBC
574555,YWHAB,DOCK4
574556,YWHAB,PIK3R2
574557,YWHAB,MAP3K2
574558,YWHAB,SRSF10
574560,YWHAB,RNPS1
574562,YWHAB,STK38
574563,YWHAB,TUBA3C
574564,YWHAB,STK38L
574567,YWHAB,MYCBP2
574569,YWHAB,KIAA0930
574574,YWHAB,GAPVD1
574577,YWHAB,PIK3R4
574578,YWHAB,LSR
574580,YWHAB,RALGPS2
574583,YWHAB,ALS2
574584,YWHAB,WDR77
574586,YWHAB,RIOK1
574587,YWHAB,MICALL1
574588,YWHAB,FRMD6
574589,YWHAB,CRTC2
574590,YWHAB,TUBB
574650,TOP1,SF3B1
574693,YWHAG,ALB
574695,YWHAG,ATP5A1
574697,YWHAG,C1QBP
574698,YWHAG,CDC5L
574699,YWHAG,CLK1
574700,YWHAG,CLK2
574701,YWHAG,CLK3
574702,YWHAG,DHX15
574703,YWHAG,DFFA
574704,YWHAG,DYRK1A
574705,YWHAG,EEF1G
574706,YWHAG,GSK3A
574707,YWHAG,HNRNPH1
574708,YWHAG,HSPA1A
574709,YWHAG,HSPA9
574712,YWHAG,MFAP1
574714,YWHAG,NEFL
574715,YWHAG,CDK17
574716,YWHAG,PIK3C3
574717,YWHAG,PIK3R1
574719,YWHAG,SRSF3
574720,YWHAG,TRA2B
574722,YWHAG,TRIM21
574723,YWHAG,TIAM1
574724,YWHAG,TSC1
574725,YWHAG,UBC
574726,YWHAG,VIM
574727,YWHAG,DDX39B
574733,YWHAG,ARHGEF2
574734,YWHAG,NOLC1
574735,YWHAG,PPIG
574737,YWHAG,RASAL2
574740,YWHAG,BCLAF1
574741,YWHAG,THRAP3
574742,YWHAG,DCAF7
574743,YWHAG,SRRM1
574745,YWHAG,YAP1
574746,YWHAG,MAP3K2
574747,YWHAG,RNPS1
574748,YWHAG,AKAP13
574749,YWHAG,RASSF8
574750,YWHAG,TUBA3C
574751,YWHAG,PUF60
574752,YWHAG,RAB11FIP2
574753,YWHAG,SAMD4A
574754,YWHAG,MYCBP2
574756,YWHAG,KIF1B
574762,YWHAG,SF3B3
574767,YWHAG,PABPC1
574768,YWHAG,PRPF19
574770,YWHAG,IGKV1-12
574771,YWHAG,CFAP20
574773,YWHAG,TRA2A
574774,YWHAG,ZBTB21
574775,YWHAG,HDAC7
574776,YWHAG,LSR
574778,YWHAG,MIEF1
574780,YWHAG,RALGPS2
574781,YWHAG,MAGOHB
574782,YWHAG,PRPF38B
574784,YWHAG,PRPF40A
574787,YWHAG,NADK
574790,YWHAG,SH3BP5L
574791,YWHAG,MICALL1
574792,YWHAG,FRMD6
574793,YWHAG,SNAP23P
574795,YWHAG,EML3
574796,YWHAG,TMEM102
574797,YWHAG,SRGAP2
574799,YWHAG,LUC7L3
574800,YWHAG,DOCK7
574801,YWHAG,SRSF10
574802,YWHAG,TBC1D1
576217,SF3A1,SF3B1
589604,TCF3,RB1
589723,KSR1,YWHAB
589734,YWHAB,MAP2K1
589735,YWHAB,MAP2K2
591116,CALM1,SF3B1
591262,YWHAB,RFWD2
592677,EBNA-LP,SF3B1
594137,OPTN,YWHAB
594138,OPTN,YWHAG
601099,NUDT21,SF3B1
603486,C11ORF58,SF3B1
603521,YWHAB,HES1
604119,ASB2,TCF3
604410,NEDD4,YWHAB
607392,YWHAB,CDKN1B
607464,HIST1H3A,YWHAG
607470,YWHAB,HIST1H3A
611661,YWHAG,EXO1
615893,SOX2,TCF3
616746,MYBBP1A,SIRT7
616861,BHLHE41,TCF3
616958,BCL2L11,YWHAB
636083,NEDD4,YWHAG
636318,NELFE,SF3B1
637379,TCF3,STUB1
644815,HIPK2,TCF3
658579,APP,YWHAG
658582,YWHAG,SS18
658584,APBB1,YWHAG
658788,KAT5,YWHAG
662024,KCNMA1,YWHAG
662038,KCNMA1,YWHAB
663068,ELAVL1,YWHAG
664078,ELAVL1,TCF3
664336,ELAVL1,YWHAB
665567,ARRB1,YWHAB
665568,ARRB1,YWHAG
665733,ARRB2,YWHAB
665734,ARRB2,YWHAG
665807,ARRB2,SF3B1
667279,SIRT7,FLNA
667280,SIRT7,MKI67
667281,SIRT7,FASN
667282,SIRT7,PRKDC
667283,SIRT7,MYH9
667284,SIRT7,USP9X
667285,SIRT7,DYNC1H1
667286,SIRT7,EPPK1
667287,SIRT7,DSP
667288,SIRT7,SNRNP200
667289,SIRT7,CLTC
667290,SIRT7,PRPF8
667291,SIRT7,PLEC
667292,SIRT7,PDCD11
667294,SIRT7,TUBA1C
667295,SIRT7,DDX21
667296,SIRT7,HEATR1
667297,SIRT7,TUBB4A
667298,SIRT7,NUMA1
667299,SIRT7,FLNB
667300,SIRT7,RANBP2
667301,SIRT7,SPTAN1
667302,SIRT7,ACTN4
667303,SIRT7,TLN1
667304,SIRT7,VCP
667305,SIRT7,SPTBN1
667306,SIRT7,PABPC1
667307,SIRT7,HNRNPUL1
667308,SIRT7,UTP20
667309,SIRT7,MYH10
667310,SIRT7,NOP2
667311,SIRT7,UPF1
667312,SIRT7,TPR
667313,SIRT7,GCN1L1
667314,SIRT7,SEC16A
667315,SIRT7,FLNC
667316,SIRT7,IQGAP1
667317,SIRT7,UBR4
667318,SIRT7,RPL4
667319,SIRT7,CAD
667320,SIRT7,PRRC2C
667321,SIRT7,MDN1
667322,SIRT7,GANAB
667323,SIRT7,ACTN1
667324,SIRT7,PDIA4
667325,SIRT7,SF3B1
667326,SIRT7,PABPC4
667327,SIRT7,HIST1H2BL
667328,SIRT7,DHX30
667329,SIRT7,POLR2A
667330,SIRT7,HUWE1
667331,SIRT7,NCL
667332,SIRT7,HYOU1
667333,SIRT7,LMNA
667334,SIRT7,KPNB1
667335,SIRT7,HIST1H2BJ
667336,SIRT7,RPLP0
667337,SIRT7,DDB1
667338,SIRT7,MOV10
667339,SIRT7,CCT2
667340,SIRT7,ACIN1
667341,SIRT7,ACLY
667342,SIRT7,CNOT1
667343,SIRT7,BAZ1B
667344,SIRT7,HSPA9
667345,SIRT7,RRP12
667346,SIRT7,NAT10
667347,SIRT7,ATP1A1
667348,SIRT7,RPL6
667349,SIRT7,DHX15
667350,SIRT7,GNB2L1
667351,SIRT7,CCT3
667352,SIRT7,FTSJ3
667353,SIRT7,RSL1D1
667354,SIRT7,RPL3
667355,SIRT7,NUP205
667356,SIRT7,MDC1
667357,SIRT7,NOP58
667358,SIRT7,YTHDC2
667359,SIRT7,COPA
667360,SIRT7,EIF4A1
667361,SIRT7,XRCC6
667362,SIRT7,BMS1
667363,SIRT7,TBL3
667364,SIRT7,EIF4G1
667365,SIRT7,HSPA2
667366,SIRT7,PELP1
667367,SIRT7,HIST1H1E
667368,SIRT7,RPL5
667369,SIRT7,ATP2A2
667370,SIRT7,SON
667371,SIRT7,WDR36
667372,SIRT7,GTPBP4
667373,SIRT7,NUP214
667374,SIRT7,EDC4
667375,SIRT7,RBM28
667376,SIRT7,IGF2BP3
667377,SIRT7,LRPPRC
667378,SIRT7,DDX27
667379,SIRT7,NVL
667380,SIRT7,PES1
667381,SIRT7,SF3B2
667382,SIRT7,H2AFX
667383,SIRT7,HNRNPF
667384,SIRT7,PHIP
667385,SIRT7,MYO1B
667386,SIRT7,MYH14
667387,SIRT7,URB1
667388,SIRT7,CEBPZ
667389,SIRT7,CHD4
667390,SIRT7,SYNCRIP
667391,SIRT7,RBMX
667392,SIRT7,SND1
667393,SIRT7,ZFR
667394,SIRT7,HNRNPA3
667395,SIRT7,UTP14A
667396,SIRT7,SMCHD1
667397,SIRT7,CCT5
667398,SIRT7,GTF3C1
667399,SIRT7,DDX18
667400,SIRT7,AHNAK
667401,SIRT7,RPSA
667402,SIRT7,YLPM1
667403,SIRT7,RPL7A
667404,SIRT7,RPS4X
667405,SIRT7,UBR5
667406,SIRT7,ACACA
667407,SIRT7,MYO1C
667408,SIRT7,SUGP2
667409,SIRT7,WDR3
667410,SIRT7,RPS2
667411,SIRT7,PRRC2A
667412,SIRT7,TRIP12
667413,SIRT7,NOL6
667414,SIRT7,NES
667415,SIRT7,SUPT6H
667416,SIRT7,ILF2
667417,SIRT7,NUP153
667418,SIRT7,CKAP5
667419,SIRT7,LARP1
667420,SIRT7,PWP2
667421,SIRT7,NUP155
667422,SIRT7,DDX24
667423,SIRT7,FN1
667424,SIRT7,NOC2L
667425,SIRT7,BOP1
667426,SIRT7,NUP210
667427,SIRT7,FBL
667428,SIRT7,CCAR2
667429,SIRT7,ZNF638
667430,SIRT7,FAM120A
667431,SIRT7,MACF1
667432,SIRT7,HERC2
667433,SIRT7,HELZ
667434,SIRT7,DOCK7
667435,SIRT7,ANKHD1
667436,SIRT7,TAF15
667437,SIRT7,XRN2
667438,SIRT7,UGGT1
667439,SIRT7,RPL7
667440,SIRT7,SFPQ
667441,SIRT7,XRCC5
667442,SIRT7,KIAA0020
667443,SIRT7,DICER1
667444,SIRT7,TEX10
667445,SIRT7,SPEN
667446,SIRT7,NOL11
667447,SIRT7,HSPA4
667448,SIRT7,SERBP1
667449,SIRT7,RAD50
667450,SIRT7,GNL3
667451,SIRT7,TOP1
667452,SIRT7,HIST1H1D
667453,SIRT7,FUS
667454,SIRT7,SUPT5H
667455,SIRT7,MCM6
667456,SIRT7,FRYL
667457,SIRT7,SRRM2
667458,SIRT7,WDR46
667459,SIRT7,DNTTIP2
667460,SIRT7,RPS3A
667461,SIRT7,HADHA
667462,SIRT7,NIFK
667463,SIRT7,PFKP
667464,SIRT7,NPEPPS
667465,SIRT7,STRBP
667466,SIRT7,TJP1
667467,SIRT7,MAP1B
667468,SIRT7,LAS1L
667469,SIRT7,LMNB2
667470,SIRT7,ASCC3
667471,SIRT7,ZC3HAV1
667472,SIRT7,WDR75
667473,SIRT7,U2SURP
667474,SIRT7,HDLBP
667475,SIRT7,MCM5
667476,SIRT7,NUP160
667477,SIRT7,AHCTF1
667478,SIRT7,NKRF
667479,SIRT7,RPL10A
667480,SIRT7,ELAVL1
667481,SIRT7,P4HB
667482,SIRT7,IMMT
667483,SIRT7,RPL14
667484,SIRT7,PGK1
667485,SIRT7,KIAA1429
667486,SIRT7,XPO1
667487,SIRT7,NOP14
667488,SIRT7,HP1BP3
667489,SIRT7,SKIV2L2
667490,SIRT7,AARS
667491,SIRT7,CPSF1
667492,SIRT7,HELZ2
667493,SIRT7,BRIX1
667494,SIRT7,DHX57
667495,SIRT7,NOC3L
667496,SIRT7,EXOSC10
667497,SIRT7,NUP133
667498,SIRT7,GAPVD1
667499,SIRT7,SMARCA4
667500,SIRT7,HCFC1
667501,SIRT7,ANKRD17
667502,SIRT7,URB2
667503,SIRT7,FAM208B
667504,SIRT7,COPB1
667505,SIRT7,PSMD1
667506,SIRT7,RPS6
667507,SIRT7,PSMD2
667508,SIRT7,GDI2
667509,SIRT7,BIRC6
667510,SIRT7,TP53BP1
667511,SIRT7,KMT2A
667512,SIRT7,RANGAP1
667513,SIRT7,EBNA1BP2
667514,SIRT7,RRP1B
667515,SIRT7,NDUFS1
667516,SIRT7,NUP93
667517,SIRT7,NPM1
667518,SIRT7,MCM4
667519,SIRT7,XRN1
667520,SIRT7,TRRAP
667521,SIRT7,RSF1
667522,SIRT7,RIF1
667523,SIRT7,WDR43
667524,SIRT7,IGF2BP2
667525,SIRT7,EIF3L
667526,SIRT7,SRSF4
667527,SIRT7,FMR1
667528,SIRT7,CANX
667529,SIRT7,RAI1
667530,SIRT7,FXR2
667531,SIRT7,MSN
667532,SIRT7,ATAD2
667535,SIRT7,USP7
667536,SIRT7,TJP2
667537,SIRT7,IGF2R
667538,SIRT7,DDX54
667539,SIRT7,DDX10
667540,SIRT7,PNN
667541,SIRT7,RPLP2
667542,SIRT7,RPL30
667543,SIRT7,G3BP1
667544,SIRT7,ZNF512
667545,SIRT7,RPS5
667546,SIRT7,RPL15
667547,SIRT7,CALR
667548,SIRT7,CKB
667549,SIRT7,CUL9
667550,SIRT7,NIPBL
667551,SIRT7,KRI1
667552,SIRT7,NARS
667553,SIRT7,NCBP1
667554,SIRT7,CSE1L
667555,SIRT7,CHD1
667556,SIRT7,COIL
667557,SIRT7,EIF4G3
667558,SIRT7,GEMIN5
667559,SIRT7,XPO5
667560,SIRT7,EIF3D
667561,SIRT7,NUP107
667562,SIRT7,SMARCC2
667563,SIRT7,TUFM
667564,SIRT7,SF3A1
667565,SIRT7,GTF2I
667566,SIRT7,THOC2
667567,SIRT7,ATXN2L
667568,SIRT7,EPB41L2
667569,SIRT7,SART1
667570,SIRT7,SLTM
667571,SIRT7,RPS14
667572,SIRT7,RPS7
667573,SIRT7,SRSF3
667574,SIRT7,RPS16
667575,SIRT7,MSH6
667576,SIRT7,DNMT1
667577,SIRT7,MYCBP2
667578,SIRT7,CHD8
667579,SIRT7,SBF1
667580,SIRT7,BYSL
667581,SIRT7,MPHOSPH10
667582,SIRT7,ZSWIM8
667583,SIRT7,PRRC2B
667584,SIRT7,RPS15
667585,SIRT7,COPG1
667586,SIRT7,RPL9
667587,SIRT7,PPP1CA
667588,SIRT7,ALYREF
667589,SIRT7,COPB2
667590,SIRT7,RPL23A
667591,SIRT7,PFAS
667592,SIRT7,NSUN2
667593,SIRT7,DST
667594,SIRT7,LCP1
667595,SIRT7,GNL2
667596,SIRT7,BLM
667597,SIRT7,ZNF318
667598,SIRT7,SYNE2
667599,SIRT7,SCAF11
667600,SIRT7,ANXA1
667601,SIRT7,ATAD3A
667602,SIRT7,RPL8
667603,SIRT7,PPP1CC
667604,SIRT7,RBM15
667605,SIRT7,ATIC
667606,SIRT7,IPO5
667607,SIRT7,UBAP2L
667608,SIRT7,BAZ2A
667609,SIRT7,PHF3
667610,SIRT7,DDX31
667611,SIRT7,PCM1
667612,SIRT7,NUP98
667613,SIRT7,UTP6
667614,SIRT7,KIAA0368
667615,SIRT7,PPM1G
667616,SIRT7,RPL10
667617,SIRT7,TP53
667618,SIRT7,PRPF6
667619,SIRT7,SERPINH1
667620,SIRT7,PPP1CB
667621,SIRT7,RPL19
667622,SIRT7,SMC4
667623,SIRT7,CUL4B
667624,SIRT7,RBM39
667625,SIRT7,KIF14
667626,SIRT7,PPP6R3
667627,SIRT7,COPG2
667628,SIRT7,UTRN
667629,SIRT7,UTP18
667630,SIRT7,GEMIN4
667631,SIRT7,WDR12
667632,SIRT7,SMU1
667633,SIRT7,ACTR3
667634,SIRT7,CEP170
667635,SIRT7,RPS12
667636,SIRT7,SART3
667637,SIRT7,NUP88
667638,SIRT7,TPP2
667639,SIRT7,AP2B1
667640,SIRT7,CSDE1
667641,SIRT7,ALDH18A1
667642,SIRT7,KIF5B
667643,SIRT7,DDX42
667644,SIRT7,KHSRP
667645,SIRT7,NEFM
667646,SIRT7,HECTD1
667647,SIRT7,HERC5
667648,SIRT7,OASL
667649,SIRT7,CIRH1A
667650,SIRT7,TSR1
667651,SIRT7,UTP15
667652,SIRT7,RBM25
667653,SIRT7,POP1
667654,SIRT7,ZC3H11A
667655,SIRT7,SEC24C
667656,SIRT7,RPN2
667657,SIRT7,IKBKAP
667658,SIRT7,MTHFD1L
667659,SIRT7,PPP2R1A
667660,SIRT7,RPL18A
667661,SIRT7,RPL26
667662,SIRT7,GART
667663,SIRT7,ABCF1
667664,SIRT7,U2AF2
667665,SIRT7,DHX8
667666,SIRT7,DDX52
667667,SIRT7,SRSF5
667668,SIRT7,NOC4L
667669,SIRT7,RPL21
667670,SIRT7,AP1B1
667671,SIRT7,NUP188
667672,SIRT7,STAU1
667673,SIRT7,FXR1
667674,SIRT7,RNH1
667675,SIRT7,VDAC1
667676,SIRT7,PRMT5
667677,SIRT7,DPYSL2
667678,SIRT7,TNKS1BP1
667679,SIRT7,CHD2
667680,SIRT7,RBM34
667681,SIRT7,MRTO4
667682,SIRT7,NEFL
667683,SIRT7,STOML2
667684,SIRT7,INA
667685,SIRT7,PRDX4
667686,SIRT7,GFPT1
667687,SIRT7,IRS4
667688,SIRT7,RRS1
667689,SIRT7,USP47
667690,SIRT7,DHX37
667691,SIRT7,CTCF
667692,SIRT7,SNX9
667693,SIRT7,SMARCA2
667694,SIRT7,BPTF
667695,SIRT7,ACSL3
667696,SIRT7,WDR18
667697,SIRT7,KIF1A
667698,SIRT7,TTC37
667699,SIRT7,KARS
667700,SIRT7,NOL10
667701,SIRT7,FSCN1
667702,SIRT7,INCENP
667703,SIRT7,PRPF40A
667704,SIRT7,NXF1
667705,SIRT7,SNW1
667706,SIRT7,EIF5B
667707,SIRT7,AATF
667708,SIRT7,PLOD1
667709,SIRT7,SOGA1
667710,SIRT7,MCM3AP
667711,SIRT7,PRPF4B
667712,SIRT7,EIF6
667713,SIRT7,RRP1
667714,SIRT7,KIF23
667715,SIRT7,CAPRIN1
667716,SIRT7,RPS19
667717,SIRT7,DNAJA1
667718,SIRT7,XAB2
667719,SIRT7,CHERP
667720,SIRT7,RTCB
667721,SIRT7,SEC23A
667722,SIRT7,EPB41L3
667723,SIRT7,RRP9
667724,SIRT7,ZC3H14
667725,SIRT7,NF1
667726,SIRT7,DDX56
667727,SIRT7,ESF1
667728,SIRT7,CCDC86
667729,SIRT7,RPS10
667730,SIRT7,GLYR1
667731,SIRT7,SRP68
667732,SIRT7,RPS26
667733,SIRT7,MYEF2
667734,SIRT7,GSTP1
667735,SIRT7,ZMYM3
667736,SIRT7,SDHA
667737,SIRT7,LTA4H
667738,SIRT7,IPO7
667739,SIRT7,STAG2
667740,SIRT7,HIST1H1A
667741,SIRT7,RCL1
667742,SIRT7,CENPF
667743,SIRT7,ZCCHC3
667744,SIRT7,COL5A1
667745,SIRT7,DCAF13
667746,SIRT7,CTNNA1
667747,SIRT7,USP24
667748,SIRT7,MLLT4
667749,SIRT7,KRR1
667750,SIRT7,NSA2
667751,SIRT7,SRPK1
667752,SIRT7,CSNK2A1
667753,SIRT7,GLTSCR2
667754,SIRT7,MTA2
667755,SIRT7,AQR
667756,SIRT7,RPS23
667757,SIRT7,TCOF1
667758,SIRT7,PAICS
667759,SIRT7,PSMC2
667760,SIRT7,DHX38
667761,SIRT7,PBRM1
667762,SIRT7,TNPO1
667763,SIRT7,VCL
667764,SIRT7,ADNP
667765,SIRT7,ARF3
667766,SIRT7,REXO4
667767,SIRT7,DHX36
667768,SIRT7,CUL7
667769,SIRT7,MED12
667770,SIRT7,MYO5A
667771,SIRT7,ITPR3
667772,SIRT7,DIDO1
667773,SIRT7,RPL38
667774,SIRT7,PWP1
667775,SIRT7,SRP72
667776,SIRT7,NOL9
667777,SIRT7,GTF3C3
667778,SIRT7,SEC13
667779,SIRT7,PTCD3
667780,SIRT7,MTOR
667781,SIRT7,CBX3
667782,SIRT7,PHRF1
667783,SIRT7,INTS1
667784,SIRT7,RPS24
667785,SIRT7,POGZ
