,InteractorA,InteractorB
667665,SIRT7,DHX8
667667,SIRT7,SRSF5
667703,SIRT7,PRPF40A
667704,SIRT7,NXF1
667714,SIRT7,KIF23
667751,SIRT7,SRPK1
667768,SIRT7,CUL7
667772,SIRT7,DIDO1
667801,SIRT7,ZC3H18
667815,SIRT7,SNRNP70
667854,SIRT7,PUF60
668800,RNF2,SMARCB1
668818,RNF2,RBM39
669868,RNPS1,ACIN1
670382,TCF3,SAFB
670431,TCF3,RPL13
670441,TCF3,RBM39
670462,TCF3,NONO
670481,TCF3,SRSF1
672223,MYC,VHL
672514,RAN,ESR1
674144,GAG,DHX9
676494,TRIM28,NR2C2
683542,PPP1CC,VCP
683545,PPP1CC,HSPA8
683770,PPP1CC,ESR1
685007,VPR,SRSF1
685145,CCNF,RBX1
692160,VPR,RBX1
697566,VHL,KIFAP3
717329,U2AF2,PRPF19
717337,CDC5L,U2AF2
719075,SNIP1,MYC
719669,NHP2L1,PRPF3
719703,PRPF6,EFTUD2
719725,PRPF6,PRPF3
722255,NXF1,SRSF7
722256,NXF1,SRSF1
722406,RNPS1,NXF1
724039,VPR,GAG
743067,SF3B1,SRSF1
743144,SF3B1,EFTUD2
743239,SNRNP70,U2AF2
743240,DHX9,SRSF1
743328,SRSF1,EFTUD2
743336,DHX9,EFTUD2
743674,NHP2L1,SRSF5
743771,SF3B6,SRSF5
743804,NHP2L1,SRSF7
743809,NHP2L1,RNPS1
743831,SFPQ,U2AF1
743841,SF3B1,U2AF1
743852,PRPF6,SRSF7
743887,NHP2L1,PRPF6
743907,HNRNPM,U2AF2
743952,DHX9,SRSF7
743965,HNRNPM,PRPF6
743970,PRPF6,U2AF1
743975,SRSF11,SRSF7
743977,NHP2L1,SRSF11
743986,PRPF6,SRSF5
743992,HNRNPM,EFTUD2
744001,HNRNPM,NHP2L1
744020,SRSF7,U2AF1
744029,NHP2L1,U2AF1
744037,SF3B1,SRSF5
744044,SF3B6,U2AF2
744049,SF3B1,U2AF2
744053,SRSF5,U2AF1
744058,SF3B6,U2AF1
744061,DHX9,U2AF1
744075,SF3B1,SFPQ
744087,SF3B6,SRSF7
744095,HNRNPM,SF3B1
744104,SRSF5,U2AF2
744108,HNRNPM,U2AF1
744125,PRPF6,U2AF2
744136,SFPQ,EFTUD2
744147,SF3B6,SRSF11
744149,HNRNPM,SRSF1
744183,SRSF7,U2AF2
744197,SRSF5,SRSF7
744218,SF3B6,EFTUD2
744232,PRPF3,U2AF2
744241,HNRNPM,RNPS1
744251,HNRNPM,SRSF5
744440,SAP18,SMARCB1
744462,ILF3,RPL13
744526,DHX9,ILF2
744552,ILF2,SF3B1
744588,EIF4A3,RNPS1
744629,CDC5L,U2AF1
744706,CDC5L,EIF4A3
744714,PRPF19,SRSF1
744739,ILF3,SF3B1
744756,SFPQ,SRSF5
744770,HNRNPM,SFPQ
744775,HNRNPM,NONO
744784,EIF4A3,ILF2
744790,SFPQ,SRSF7
744831,SFPQ,SRSF4
745144,SF3B6,USP39
745145,SRSF11,USP39
745171,PRPF19,PRPF6
745180,PRPF3,SRSF5
745194,PRPF19,SNRNP70
745217,CDC5L,SRSF5
745224,NHP2L1,PRPF40A
745243,EFTUD2,KIAA1429
745269,SF3B1,SRRM2
745291,PRPF19,SRSF5
745298,SRRM2,U2AF1
745303,PRPF3,SRRM2
745309,EIF4A3,PRPF6
745316,PRPF19,U2AF1
745319,SF3B6,PRPF19
745322,PRPF3,SRSF7
745421,ACIN1,DHX9
745433,BUD31,SRSF7
745452,HNRNPM,PRPF19
745462,SRSF5,SRRM2
745465,PRPF19,EFTUD2
745477,DHX9,SRRM2
745478,NHP2L1,RBM39
745480,EIF4A3,SRSF5
745515,ACIN1,PRPF6
745518,SRSF5,USP39
745528,PRPF19,RNPS1
745542,SF3B6,PUF60
745544,PRPF19,SRSF11
745561,PRPF6,SRRM2
745563,SF3B1,USP39
745572,RBM39,USP39
745574,EIF4A3,SRSF1
745582,PRPF19,RBM39
745583,SRSF1,SRRM2
745584,EIF4A3,PRPF3
745587,DHX9,USP39
745590,SRSF7,USP39
745594,EIF4A3,PRPF40A
745608,DDX21,RNPS1
745611,DDX21,SAP18
745612,SAP18,SRSF11
745613,SAP18,SRSF1
745615,DDX21,SRSF5
745616,ILF3,SRSF5
745617,SAP18,SRSF5
745618,DDX21,SRSF7
745619,SAP18,SRSF7
745638,NHP2L1,SAP18
745643,PRPF6,SAP18
745645,HNRNPM,PUF60
745646,ILF2,SRSF7
745667,CDC5L,SAP18
745672,PPP1CA,SRSF7
745692,ILF3,RNPS1
745693,PPP1CA,SRSF5
745710,HSPA8,RNPS1
745716,PPP1CA,SRSF11
745719,ILF2,SRSF5
745727,DDX21,SFPQ
745730,HNRNPM,PRPF40A
745735,ILF3,SF3B6
745755,SAP18,U2AF1
745760,PRPF40A,SAP18
745764,ILF2,SRRM2
745777,ILF3,SNRNP70
745810,SAP18,U2AF2
745874,HNRNPM,PRPF3
745884,ILF3,SRRM2
